date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-09-14,5ad8135dc2b5f27de0b777acd317855a,2026-09-15T00:15:00Z,Kansas City Chiefs,Denver Broncos,-2.5,-110,2.5,-118,-1.5,-110,1.5,-110,-2.0,-112,2.0,-109,-1.0,-120,1.0,100,-1.5,-115,1.5,-105,-2.5,-108,2.5,-112,-2.5,-105,2.5,-115,-1.5,-108,1.5,-102,-2.0,-110,2.0,-110
2026-09-14,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,-4.5,-108,4.5,-110,-4.5,-103,4.5,-117,-4.5,-108,4.5,-113,-4.5,-105,4.5,-115,-4.5,-110,4.5,-110,-4.5,-108,4.5,-112,-4.5,-105,4.5,-115,-4.5,100,4.5,-110,-4.0,-110,4.0,-110
2026-09-14,aee7eae1849ebb103b9bf233e9741392,2026-09-20T17:00:00Z,Atlanta Falcons,Carolina Panthers,1.5,-110,-1.5,-108,1.0,-104,-1.0,-116,1.0,-108,-1.0,-113,0.0,100,0.0,-120,1.5,-115,-1.5,-105,1.5,-112,-1.5,-108,1.5,-112,-1.5,-108,1.0,101,-1.0,-112,1.0,-110,-1.0,-110
2026-09-14,2143ade9684fd876b68a4e8cbf451f05,2026-09-20T17:00:00Z,Baltimore Ravens,New Orleans Saints,-8.5,-108,8.5,-110,-9.0,-105,9.0,-115,-8.0,-113,8.0,-108,-9.0,100,9.0,-120,-8.0,-110,8.0,-110,-8.5,-110,8.5,-110,-8.5,-105,8.5,-115,-9.0,100,9.0,-110,-9.0,-110,9.0,-110
2026-09-14,0283a29e1b38ef78b29b904fd56a16dd,2026-09-20T17:00:00Z,Chicago Bears,Minnesota Vikings,-5.5,-110,5.5,-108,-5.5,-110,5.5,-110,-5.5,-109,5.5,-112,-6.0,100,6.0,-120,-5.5,-110,5.5,-110,-5.5,-110,5.5,-110,-5.5,-108,5.5,-112,-5.5,-105,5.5,-105,-5.5,-110,5.5,-110
2026-09-14,36ad2fa722f4915ef23d2c81351261de,2026-09-20T17:00:00Z,Houston Texans,Cincinnati Bengals,-3.0,-105,3.0,-112,-3.0,-105,3.0,-115,-3.0,-106,3.0,-115,-3.0,-105,3.0,-115,-3.0,-105,3.0,-115,-3.0,-108,3.0,-112,-3.0,-102,3.0,-120,-3.0,100,3.0,-110,-3.0,-110,3.0,-110
2026-09-14,0636ebff776d43f8c829a36713c80b22,2026-09-20T17:00:00Z,Tampa Bay Buccaneers,Cleveland Browns,-8.5,-108,8.5,-110,-9.0,-105,9.0,-115,-8.0,-112,8.0,-109,-9.0,100,9.0,-120,-8.0,-110,8.0,-110,-8.5,-110,8.5,-110,-8.5,-104,8.5,-118,-9.0,101,9.0,-112,-9.0,-110,9.0,-110
2026-09-14,4aeee070bb6ec60bdfae4dede61b9014,2026-09-20T17:00:00Z,New York Jets,Green Bay Packers,3.5,-108,-3.5,-110,3.5,-110,-3.5,-110,4.0,-112,-4.0,-109,3.5,-110,-3.5,-110,3.5,-110,-3.5,-110,4.5,-112,-4.5,-108,4.5,-120,-4.5,-102,3.5,-105,-3.5,-105,3.5,-110,-3.5,-110
2026-09-14,9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:00:00Z,New England Patriots,Pittsburgh Steelers,-5.0,-110,5.0,-108,-5.5,-107,5.5,-113,-5.5,-113,5.5,-108,-5.0,-110,5.0,-110,-5.0,-110,5.0,-110,-5.5,-110,5.5,-110,-4.5,-118,4.5,-104,-5.5,-102,5.5,-108,,,,
2026-09-14,fafc649c455e32a0f2ba1bd06e2039bc,2026-09-20T17:00:00Z,Tennessee Titans,Philadelphia Eagles,7.0,-108,-7.0,-110,7.0,-108,-7.0,-112,7.0,-106,-7.0,-115,7.0,-110,-7.0,-110,7.0,-105,-7.0,-115,7.0,-110,-7.0,-110,7.0,-110,-7.0,-110,7.0,-103,-7.0,-107,,,,
