date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-03-11,2b7e07f92609e7a5ad0edcfe650d99e8,Orlando Magic,Cleveland Cavaliers,3.5,-105,-3.5,-115,3.5,-105,-3.5,-115,3.5,-109,-3.5,-114,3.5,-105,-3.5,-115,3.5,-115,-3.5,-105,3.5,-105,-3.5,-115,3.5,-110,-3.5,-110,3.5,-101,-3.5,-111,3.5,-110,-3.5,-110
2026-03-11,f017158f6d19c234ca36c9f4158a2dd7,New Orleans Pelicans,Toronto Raptors,2.5,-115,-2.5,-105,2.5,-113,-2.5,-107,2.5,-112,-2.5,-110,2.5,-110,-2.5,-110,2.5,-110,-2.5,-110,2.5,-115,-2.5,-105,2.0,-108,-2.0,-112,2.5,-109,-2.5,-103,2.5,-110,-2.5,-110
2026-03-11,6df2d79d5f33a116e65cebdf6b58df62,Utah Jazz,New York Knicks,13.5,-105,-13.5,-115,14.0,-112,-14.0,-108,14.5,-114,-14.5,-109,14.0,-110,-14.0,-110,14.5,-115,-14.5,-105,13.5,-105,-13.5,-115,14.0,-108,-14.0,-112,14.0,-108,-14.0,-104,14.5,-110,-14.5,-110
2026-03-11,9456ca1700b88516e897b6814de3681c,Sacramento Kings,Charlotte Hornets,13.5,-110,-13.5,-110,13.5,-110,-13.5,-110,13.5,-112,-13.5,-112,13.5,-110,-13.5,-110,13.5,-110,-13.5,-110,13.5,-112,-13.5,-108,13.5,-112,-13.5,-108,13.5,-106,-13.5,-106,13.5,-110,-13.5,-110
2026-03-11,dc635f9b3f854e9881597341b126a1ff,Denver Nuggets,Houston Rockets,-7.5,-105,7.5,-115,-7.0,-110,7.0,-110,-7.0,-112,7.0,-112,-7.0,-110,7.0,-110,-7.5,-105,7.5,-115,-7.5,-105,7.5,-115,-7.0,-110,7.0,-110,-7.0,-106,7.0,-106,-7.0,-110,7.0,-110
2026-03-11,93eb0e796df39c4bd0667f1bbc5a1cb1,Los Angeles Clippers,Minnesota Timberwolves,-1.5,-110,1.5,-110,-1.5,-110,1.5,-110,-2.0,-108,2.0,-114,-1.5,-110,1.5,-110,-1.0,-110,1.0,-110,-1.5,-105,1.5,-115,-1.5,-114,1.5,-106,-1.5,-106,1.5,-106,-1.5,-110,1.5,-110
2026-03-11,54729c42f16b535d7db5602607b652cb,Oklahoma City Thunder,Boston Celtics,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,-114,5.0,-106,,,,,,,,
