date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-01-19,d9b1ce3cf25e2645fdb24e89d4f1a38e,Cleveland Cavaliers,Oklahoma City Thunder,16.5,-115,-16.5,-110,,,,,16.5,-115,-16.5,-118,,,,,,,,,16.5,-105,-16.5,-125,17.5,-130,-17.5,-102,,,,,14.5,-118,-14.5,-111
2026-01-19,d83e3a6de719f872d8af6632781718c1,Washington Wizards,Los Angeles Clippers,1.5,-105,-1.5,-125,,,,,2.0,-113,-2.0,-121,,,,,,,,,1.5,-105,-1.5,-125,-0.5,-130,0.5,-102,,,,,2.5,-133,-2.5,100
2026-01-19,e7f04ed48f026208a6d078b5b3bc118b,New York Knicks,Dallas Mavericks,-12.5,-110,12.5,-110,-12.5,-117,12.5,-103,-12.5,-110,12.5,-115,-12.5,-110,12.5,-110,-12.5,-115,12.5,-105,-12.5,-115,12.5,-105,-12.0,-114,12.0,-106,-12.5,-113,12.5,101,-12.0,-110,12.0,-110
2026-01-19,0ff8277cb58ea65a441ebef0f658a566,San Antonio Spurs,Utah Jazz,-16.5,-110,16.5,-110,-16.5,-111,16.5,-109,-16.5,-114,16.5,-112,-16.5,-110,16.5,-110,-16.5,-110,16.5,-110,-16.5,-115,16.5,-105,-16.5,-114,16.5,-106,-16.5,-107,16.5,-105,-16.5,-110,16.5,-110
2026-01-19,b68ce56ffffc7b2cb21f03e660422899,Philadelphia 76ers,Indiana Pacers,-6.5,-102,6.5,-118,-6.0,-107,6.0,-113,-6.0,-115,6.0,-110,-6.0,-110,6.0,-110,-6.0,-110,6.0,-110,-5.5,-115,5.5,-105,-6.5,-106,6.5,-114,-6.0,-103,6.0,-109,-6.0,-110,6.0,-110
2026-01-19,41cd5f6adac96f85be9cf529b363f604,Brooklyn Nets,Phoenix Suns,8.5,-110,-8.5,-110,8.5,-105,-8.5,-115,9.0,-117,-9.0,-109,8.5,-110,-8.5,-110,8.5,-110,-8.5,-110,8.5,-108,-8.5,-112,8.5,-108,-8.5,-112,8.5,-101,-8.5,-111,8.5,-110,-8.5,-110
2026-01-19,df230babfc6ef1362f740fbb16136e77,Detroit Pistons,Boston Celtics,-2.5,-115,2.5,-105,-2.5,-115,2.5,-105,-3.0,-114,3.0,-112,-2.5,-115,2.5,-105,-3.0,-110,3.0,-110,-2.5,-118,2.5,-102,-3.0,-110,3.0,-110,-2.5,-111,2.5,-101,-2.5,-110,2.5,-110
2026-01-19,4d7a9815b4e6215ab1309ddb47162781,Golden State Warriors,Miami Heat,-5.5,-110,5.5,-110,-5.5,-111,5.5,-109,-5.5,-109,5.5,-115,-5.5,-110,5.5,-110,-5.0,-110,5.0,-110,-5.5,-108,5.5,-112,-5.5,-106,5.5,-114,-5.5,-107,5.5,-105,-5.5,-110,5.5,-110
