date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-03-02,23f7e8ebef76ec1b639f412eccfdfda4,Washington Wizards,Houston Rockets,14.5,-110,-14.5,-110,14.5,-110,-14.5,-110,14.5,-109,-14.5,-114,14.5,-110,-14.5,-110,14.5,-110,-14.5,-110,14.5,-110,-14.5,-110,14.5,-110,-14.5,-110,14.5,-106,-14.5,-106,14.5,-110,-14.5,-110
2026-03-02,3a1ef5b1bd5afc1ee417ba3992167357,Milwaukee Bucks,Boston Celtics,2.5,-115,-2.5,-105,2.0,-106,-2.0,-114,2.0,-110,-2.0,-113,2.0,-105,-2.0,-115,2.5,-110,-2.5,-110,2.5,-115,-2.5,-105,2.0,-110,-2.0,-110,2.0,-102,-2.0,-110,2.5,-110,-2.5,-110
2026-03-02,1804ec1ea561b137f3b6a151af196bef,Utah Jazz,Denver Nuggets,11.5,-105,-11.5,-115,11.5,-105,-11.5,-115,11.5,-109,-11.5,-113,11.5,-110,-11.5,-110,12.0,-115,-12.0,-105,11.5,-105,-11.5,-115,12.0,-110,-12.0,-110,11.5,-101,-11.5,-111,11.5,-110,-11.5,-110
2026-03-02,48deab86651d256447d6bb35a3d9939c,Golden State Warriors,Los Angeles Clippers,1.5,-110,-1.5,-110,1.5,-110,-1.5,-110,1.5,-110,-1.5,-113,1.5,-110,-1.5,-110,1.5,-110,-1.5,-110,1.5,-112,-1.5,-108,1.5,-112,-1.5,-108,1.5,-106,-1.5,-106,1.5,-110,-1.5,-110
2026-03-02,6e039621e88bb0b022d5b0d3eafd9596,Toronto Raptors,New York Knicks,1.5,-105,-1.5,-115,,,,,2.0,-110,-2.0,-113,,,,,,,,,1.5,-105,-1.5,-115,1.5,-106,-1.5,-114,,,,,,,,
2026-03-02,fe9fbae6e69b1684995b2fa8f45fb691,Philadelphia 76ers,San Antonio Spurs,6.5,-105,-6.5,-115,,,,,6.5,-110,-6.5,-113,,,,,,,,,6.5,-105,-6.5,-115,6.5,-108,-6.5,-112,,,,,,,,
