date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-03-06,ab266816a618acf42cd468f0c03d88df,Boston Celtics,Dallas Mavericks,-14.5,-110,14.5,-110,-14.5,-113,14.5,-107,-14.5,-113,14.5,-110,-14.5,-115,14.5,-105,-15.0,-110,15.0,-110,-14.5,-112,14.5,-108,-14.5,-115,14.5,-105,-14.5,-109,14.5,-103,-14.5,-110,14.5,-110
2026-03-06,d30140ada41fcf347a70f0627144f910,Charlotte Hornets,Miami Heat,-7.5,-110,7.5,-110,-7.5,-110,7.5,-110,-7.5,-109,7.5,-114,-7.5,-105,7.5,-115,-7.5,-110,7.5,-110,-7.5,-108,7.5,-112,-7.5,-108,7.5,-112,-7.5,-106,7.5,-106,-7.5,-110,7.5,-110
2026-03-06,5bb88919ee7f5580d891b5f0cb5aef6e,Houston Rockets,Portland Trail Blazers,-5.5,-118,5.5,-102,-6.0,-110,6.0,-110,-6.0,-113,6.0,-110,-6.0,-110,6.0,-110,-6.0,-115,6.0,-105,-5.5,-118,5.5,-102,-6.0,-110,6.0,-110,-6.0,-106,6.0,-106,-6.0,-110,6.0,-110
2026-03-06,30131455f152309d83d6dd4173318b47,Denver Nuggets,New York Knicks,1.5,-120,-1.5,100,1.0,-115,-1.0,-105,1.0,-110,-1.0,-113,1.0,-115,-1.0,-105,1.0,-115,-1.0,-105,1.5,-118,-1.5,-102,1.5,-114,-1.5,-106,1.0,-111,-1.0,-101,-1.0,-110,1.0,-110
2026-03-06,54eca7bdce16aefb75a9905bac119cbc,Phoenix Suns,New Orleans Pelicans,-4.5,-110,4.5,-110,-4.5,-107,4.5,-113,-4.5,-115,4.5,-108,-4.5,-110,4.5,-110,-4.5,-115,4.5,-105,-4.5,-110,4.5,-110,-4.5,-110,4.5,-110,-4.5,-103,4.5,-109,-4.5,-110,4.5,-110
2026-03-06,cba1963a5da2997abeeecb331594f3d1,San Antonio Spurs,Los Angeles Clippers,-6.5,-118,6.5,-102,-7.0,-109,7.0,-111,-6.5,-114,6.5,-109,-7.0,-110,7.0,-110,-7.0,-110,7.0,-110,-6.5,-115,6.5,-105,-7.0,-110,7.0,-110,-7.0,-105,7.0,-107,-7.0,-110,7.0,-110
2026-03-06,84b2ef875ad19e935b2b1dd513de5fb3,Los Angeles Lakers,Indiana Pacers,-9.5,-105,9.5,-115,-9.5,-105,9.5,-115,-9.0,-117,9.0,-107,-9.0,-110,9.0,-110,-9.5,-110,9.5,-110,-9.5,-108,9.5,-112,-9.0,-112,9.0,-108,-9.5,-101,9.5,-111,-9.0,-110,9.0,-110
2026-03-06,ad1dc68e34d3d8c8c69f10ea02d1b55a,Minnesota Timberwolves,Orlando Magic,,,,,,,,,,,,,,,,,,,,,-7.5,-110,7.5,-110,-7.0,-110,7.0,-110,,,,,,,,
2026-03-06,d2465617bbd58c113358fb2053afcd30,Atlanta Hawks,Philadelphia 76ers,,,,,,,,,,,,,,,,,,,,,-4.5,-110,4.5,-110,-5.0,-110,5.0,-110,,,,,,,,
2026-03-06,d504db9034e7831de4702ce8e4a2ece6,Detroit Pistons,Brooklyn Nets,,,,,,,,,,,,,,,,,,,,,,,,,-16.5,-110,16.5,-110,,,,,,,,
