date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-04,b146607a8fe26fe467294dfdbaa0ff2b,Miami Heat,Washington Wizards,-27.5,-102,27.5,-125,,,,,-26.0,-118,26.0,-114,,,,,-26.0,-115,26.0,-115,-25.5,-110,25.5,-120,-24.5,-120,24.5,-110,,,,,-33.5,-111,33.5,-118
2026-04-04,53273367f28e360f2e7814dd06e29a24,Denver Nuggets,San Antonio Spurs,6.5,-110,-6.5,-118,,,,,6.0,-118,-6.0,-115,,,,,6.0,-120,-6.0,-110,6.5,-110,-6.5,-120,7.5,-120,-7.5,-110,,,,,7.5,-118,-7.5,-111
2026-04-04,dc7b446ad8c325394b7d604d3e17ad7b,Philadelphia 76ers,Detroit Pistons,3.5,-115,-3.5,-105,3.0,-111,-3.0,-109,3.0,-113,-3.0,-110,3.0,-110,-3.0,-110,2.5,-105,-2.5,-115,3.5,-115,-3.5,-105,2.5,-106,-2.5,-114,3.0,-107,-3.0,-105,3.0,-110,-3.0,-110
2026-04-04,6f1339b3519de542ab74c59857bfeff1,Boston Celtics,Toronto Raptors,,,,,-9.5,-110,9.5,-110,-10.5,-109,10.5,-114,,,,,,,,,-9.5,-112,9.5,-108,-10.5,-110,10.5,-110,-9.5,-106,9.5,-106,,,,
2026-04-04,c1b3d187f022b0870bfa7128e1d02ae5,Brooklyn Nets,Washington Wizards,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,-110,4.5,-110,,,,,,,,
2026-04-04,8071f80d106d512c88016b240e766d84,Chicago Bulls,Phoenix Suns,9.5,-102,-9.5,-118,9.5,-115,-9.5,-105,10.5,-115,-10.5,-108,,,,,,,,,9.5,-112,-9.5,-108,10.5,-110,-10.5,-110,9.5,-111,-9.5,-101,,,,
2026-04-04,4f3d29a0317850ac56b0c6db31223705,Cleveland Cavaliers,Indiana Pacers,,,,,,,,,,,,,,,,,,,,,,,,,-16.0,-114,16.0,-106,,,,,,,,
2026-04-04,8bce3373da945128589ce3cabae25443,Minnesota Timberwolves,Charlotte Hornets,-1.5,-110,1.5,-110,-1.5,-110,1.5,-110,-1.5,-112,1.5,-112,,,,,,,,,-1.5,-110,1.5,-110,-1.5,-110,1.5,-110,-1.5,-106,1.5,-106,,,,
2026-04-04,9f54cd277a7d7a9fe0de35d568dfa4af,New Orleans Pelicans,Orlando Magic,4.5,-110,-4.5,-110,4.0,-105,-4.0,-115,3.5,-110,-3.5,-113,,,,,,,,,4.5,-112,-4.5,-108,4.5,-112,-4.5,-108,4.0,-101,-4.0,-111,,,,
2026-04-04,5441d9423f924c9a489ca00a7e321466,Oklahoma City Thunder,Utah Jazz,-20.5,-115,20.5,-105,-20.5,-105,20.5,-115,-21.5,-110,21.5,-113,,,,,,,,,-21.5,-110,21.5,-110,-21.5,-110,21.5,-110,-20.5,-101,20.5,-111,,,,
2026-04-04,c6dfafffbada89cc908addd3a1f7748b,Dallas Mavericks,Los Angeles Lakers,6.5,-105,-6.5,-115,,,,,6.0,-114,-6.0,-109,,,,,,,,,6.5,-105,-6.5,-115,5.5,-110,-5.5,-110,,,,,,,,
2026-04-04,f01f7ab4597dc0c1a08e837d9b9beae9,Sacramento Kings,Los Angeles Clippers,11.5,-105,-11.5,-115,11.5,-105,-11.5,-115,11.5,-110,-11.5,-113,,,,,,,,,11.5,-105,-11.5,-115,11.5,-108,-11.5,-112,11.5,-101,-11.5,-111,,,,
2026-04-04,8516988340b00d09278e04abd65885ad,Golden State Warriors,Houston Rockets,3.5,-102,-3.5,-118,4.0,-110,-4.0,-110,4.0,-112,-4.0,-112,,,,,,,,,4.5,-118,-4.5,-102,3.5,-110,-3.5,-110,4.0,-106,-4.0,-106,,,,
