date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2025-12-30,2645cf99b94b2d0cc4ecbfed1cf56bdf,Memphis Grizzlies,Philadelphia 76ers,-1.5,-110,1.5,-110,-1.0,-110,1.0,-110,-1.0,-113,1.0,-113,-1.5,-110,1.5,-110,1.5,-105,-1.5,-115,-1.5,100,1.5,-120,-1.5,-108,1.5,-112,-1.0,-106,1.0,-106,-1.0,-110,1.0,-110
2025-12-30,5748aa8ead4679a8d9afe966bc5e844b,Utah Jazz,Boston Celtics,7.5,-102,-7.5,-118,8.5,-110,-8.5,-110,8.5,-117,-8.5,-109,8.0,-110,-8.0,-110,7.5,-110,-7.5,-110,8.5,-112,-8.5,-108,8.5,-112,-8.5,-108,8.5,-106,-8.5,-106,8.5,-110,-8.5,-110
2025-12-30,12a69f98068c9e1b277528c3f7dfed72,Los Angeles Lakers,Detroit Pistons,2.5,-110,-2.5,-110,3.0,-110,-3.0,-110,2.5,-112,-2.5,-114,2.5,-110,-2.5,-110,2.0,-105,-2.0,-115,2.5,-105,-2.5,-115,2.5,-110,-2.5,-110,2.5,-103,-2.5,-109,2.5,-110,-2.5,-110
2025-12-30,80726b18a644735592fda8cea0575612,Los Angeles Clippers,Sacramento Kings,-9.5,-110,9.5,-110,-9.5,-110,9.5,-110,-10.0,-114,10.0,-112,-9.5,-110,9.5,-110,-10.0,-105,10.0,-115,-9.5,-112,9.5,-108,-10.0,-106,10.0,-114,-9.5,-106,9.5,-106,-9.5,-110,9.5,-110
2025-12-30,aef966e3de9dde21d6030e301e8e59b3,Cleveland Cavaliers,Phoenix Suns,,,,,-6.0,-110,6.0,-110,,,,,,,,,,,,,,,,,-6.5,-112,6.5,-108,-6.0,-106,6.0,-106,-6.5,-110,6.5,-110
2025-12-30,da1f30e39aa879eeca4dcc42cde3cfbe,San Antonio Spurs,New York Knicks,,,,,-3.5,-105,3.5,-115,,,,,,,,,,,,,,,,,-2.5,-110,2.5,-110,-3.5,-101,3.5,-111,,,,
