date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-05,c1b3d187f022b0870bfa7128e1d02ae5,Brooklyn Nets,Washington Wizards,-8.5,-115,8.5,-115,,,,,-8.5,-120,8.5,-114,,,,,-8.5,-120,8.5,-110,-9.5,-105,9.5,-125,-8.5,-136,8.5,102,,,,,-6.5,-111,6.5,-111
2026-04-05,8071f80d106d512c88016b240e766d84,Chicago Bulls,Phoenix Suns,13.5,-115,-13.5,-110,,,,,12.5,-121,-12.5,-113,,,,,13.0,-120,-13.0,-110,13.5,-120,-13.5,-110,12.5,102,-12.5,-136,,,,,12.5,-105,-12.5,-125
2026-04-05,5ce196844b4f956a3c6961eec5bc859b,Milwaukee Bucks,Memphis Grizzlies,-7.5,-105,7.5,-125,,,,,-8.0,-121,8.0,-113,,,,,-7.0,-120,7.0,-110,-7.5,-105,7.5,-125,-6.5,-136,6.5,102,,,,,-7.5,-118,7.5,-111
2026-04-05,6f1339b3519de542ab74c59857bfeff1,Boston Celtics,Toronto Raptors,-8.5,-110,8.5,-118,,,,,-8.5,-112,8.5,-122,,,,,-8.0,-115,8.0,-115,-7.5,-125,7.5,-105,-8.5,-114,8.5,-114,,,,,-7.5,-125,7.5,-105
2026-04-05,4f3d29a0317850ac56b0c6db31223705,Cleveland Cavaliers,Indiana Pacers,-16.5,-110,16.5,-110,-16.5,-110,16.5,-110,-16.5,-114,16.5,-109,-16.5,-110,16.5,-110,-16.5,-110,16.5,-110,-16.5,-112,16.5,-108,-16.5,-112,16.5,-108,-16.5,-106,16.5,-106,-16.5,-110,16.5,-110
2026-04-05,8bce3373da945128589ce3cabae25443,Minnesota Timberwolves,Charlotte Hornets,3.5,-110,-3.5,-110,3.5,-108,-3.5,-112,3.5,-109,-3.5,-114,4.0,-110,-4.0,-110,4.0,-115,-4.0,-105,3.5,-108,-3.5,-112,3.5,-110,-3.5,-110,3.5,-104,-3.5,-108,3.5,-110,-3.5,-110
2026-04-05,9f54cd277a7d7a9fe0de35d568dfa4af,New Orleans Pelicans,Orlando Magic,5.5,-105,-5.5,-115,6.0,-112,-6.0,-108,6.0,-110,-6.0,-113,6.0,-110,-6.0,-110,6.0,-110,-6.0,-110,5.5,-105,-5.5,-115,6.0,-112,-6.0,-108,6.0,-108,-6.0,-104,6.0,-110,-6.0,-110
2026-04-05,5441d9423f924c9a489ca00a7e321466,Oklahoma City Thunder,Utah Jazz,-23.5,-115,23.5,-105,-24.5,-110,24.5,-110,-24.0,-113,24.0,-110,-24.0,-110,24.0,-110,-24.0,-120,24.0,100,-24.5,-108,24.5,-112,-24.0,-110,24.0,-110,-24.5,-106,24.5,-106,-24.0,-110,24.0,-110
2026-04-05,c6dfafffbada89cc908addd3a1f7748b,Dallas Mavericks,Los Angeles Lakers,1.5,-110,-1.5,-110,1.0,-110,-1.0,-110,1.5,-110,-1.5,-113,1.5,-110,-1.5,-110,1.5,-110,-1.5,-110,1.5,-115,-1.5,-105,1.5,-110,-1.5,-110,1.0,-106,-1.0,-106,1.5,-110,-1.5,-110
2026-04-05,f01f7ab4597dc0c1a08e837d9b9beae9,Sacramento Kings,Los Angeles Clippers,13.5,-110,-13.5,-110,13.5,-110,-13.5,-110,13.0,-110,-13.0,-113,13.5,-110,-13.5,-110,13.5,-115,-13.5,-105,13.5,-112,-13.5,-108,13.5,-114,-13.5,-106,13.5,-106,-13.5,-106,13.5,-110,-13.5,-110
2026-04-05,8516988340b00d09278e04abd65885ad,Golden State Warriors,Houston Rockets,3.5,-110,-3.5,-110,3.5,-108,-3.5,-112,4.0,-115,-4.0,-108,3.5,-110,-3.5,-110,4.0,-115,-4.0,-105,3.5,-110,-3.5,-110,3.5,-108,-3.5,-112,3.5,-104,-3.5,-108,3.5,-110,-3.5,-110
2026-04-05,dce0f3f389617fa7daa990c209ee8acc,Atlanta Hawks,New York Knicks,,,,,,,,,-1.0,-108,1.0,-114,,,,,,,,,-1.5,102,1.5,-122,-1.0,-110,1.0,-110,,,,,,,,
2026-04-05,14dede373d304abbddc590d2bcc81e4e,San Antonio Spurs,Philadelphia 76ers,,,,,,,,,-8.5,-108,8.5,-115,,,,,,,,,-8.5,-110,8.5,-110,-8.0,-114,8.0,-106,,,,,,,,
2026-04-05,76e52ccb4140e4936de62dbadae0808d,Denver Nuggets,Portland Trail Blazers,,,,,,,,,-8.5,-112,8.5,-112,,,,,,,,,-9.5,-110,9.5,-110,-8.5,-110,8.5,-110,,,,,,,,
