game_id,home_team,away_team,bookmaker,spread_point,spread_price
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,FanDuel,-8.0,-112
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,FanDuel,8.0,-108
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,MyBookie.ag,-8.5,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,MyBookie.ag,8.5,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,DraftKings,-8.5,-105
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,DraftKings,8.5,-115
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetRivers,-8.5,-112
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetRivers,8.5,-114
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetOnline.ag,-8.5,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetOnline.ag,8.5,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,LowVig.ag,-8.5,-106
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,LowVig.ag,8.5,-106
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetUS,-8.0,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetUS,8.0,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,Bovada,-8.0,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,Bovada,8.0,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetMGM,-8.5,-110
61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,BetMGM,8.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,FanDuel,5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,FanDuel,-5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,MyBookie.ag,5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,MyBookie.ag,-5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetOnline.ag,5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetOnline.ag,-5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,LowVig.ag,5.5,-106
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,LowVig.ag,-5.5,-106
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,DraftKings,5.5,-108
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,DraftKings,-5.5,-112
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetMGM,5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetMGM,-5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,Bovada,5.5,-105
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,Bovada,-5.5,-115
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetRivers,5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetRivers,-5.5,-115
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetUS,5.5,-110
aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,BetUS,-5.5,-110
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,FanDuel,4.5,-112
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,FanDuel,-4.5,-108
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,MyBookie.ag,5.0,-110
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,MyBookie.ag,-5.0,-110
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,LowVig.ag,5.0,-106
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,LowVig.ag,-5.0,-106
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetOnline.ag,5.0,-110
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetOnline.ag,-5.0,-110
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,Bovada,5.0,-105
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,Bovada,-5.0,-115
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetMGM,4.5,-105
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetMGM,-4.5,-115
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,DraftKings,4.5,-105
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,DraftKings,-4.5,-115
ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,BetRivers,5.0,-114
