date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-01-09,a3c377edabf29f3f3c05c1cd03c2701c,Boston Celtics,Toronto Raptors,-10.5,-105,10.5,-115,-10.0,-114,10.0,-106,-9.5,-113,9.5,-113,-10.0,-110,10.0,-110,-10.0,-115,10.0,-105,-10.5,-105,10.5,-115,-10.0,-112,10.0,-108,-10.0,-110,10.0,-102,-10.0,-110,10.0,-110
2026-01-09,fd952e8cdfea032fd925806405cfaec3,Washington Wizards,New Orleans Pelicans,2.5,-105,-2.5,-115,3.0,-113,-3.0,-107,3.0,-112,-3.0,-114,3.0,-115,-3.0,-105,3.0,-110,-3.0,-110,2.5,-108,-2.5,-112,2.5,-106,-2.5,-114,3.0,-109,-3.0,-103,3.0,-110,-3.0,-110
2026-01-09,9d66f595028bcd5407209c1aebd94b47,Orlando Magic,Philadelphia 76ers,3.5,-115,-3.5,-105,3.0,-108,-3.0,-112,3.5,-112,-3.5,-114,3.0,-110,-3.0,-110,4.0,-110,-4.0,-110,3.5,-115,-3.5,-105,3.0,-112,-3.0,-108,3.0,-104,-3.0,-108,3.0,-110,-3.0,-110
2026-01-09,05bfb1a6d7e7db4c0e42dbbc1dc676c1,Brooklyn Nets,Los Angeles Clippers,4.5,-105,-4.5,-115,4.5,-105,-4.5,-115,4.5,-109,-4.5,-117,4.5,-110,-4.5,-110,5.0,-115,-5.0,-105,5.5,-115,-5.5,-105,4.5,-106,-4.5,-114,4.5,-101,-4.5,-111,4.5,-110,-4.5,-110
2026-01-09,1840ebef9d0886493c98e78806d93860,Memphis Grizzlies,Oklahoma City Thunder,5.5,-110,-5.5,-110,5.5,-105,-5.5,-115,6.0,-113,-6.0,-112,5.5,-110,-5.5,-110,6.0,-115,-6.0,-105,5.5,-105,-5.5,-115,5.5,-106,-5.5,-114,5.5,-101,-5.5,-111,6.0,-110,-6.0,-110
2026-01-09,7d75d96495d567163d01fdfe8e63cd04,Denver Nuggets,Atlanta Hawks,2.5,-115,-2.5,-105,2.0,-110,-2.0,-110,1.5,-109,-1.5,-115,2.5,-110,-2.5,-110,2.0,-115,-2.0,-105,1.5,-108,-1.5,-112,2.0,-112,-2.0,-108,2.0,-106,-2.0,-106,2.0,-110,-2.0,-110
2026-01-09,f07172e17d482fc11918839f228a1b32,Phoenix Suns,New York Knicks,1.5,-115,-1.5,-105,1.0,-110,-1.0,-110,1.0,-110,-1.0,-115,1.0,-110,-1.0,-110,1.0,-115,-1.0,-105,1.5,-105,-1.5,-115,1.0,-106,-1.0,-114,1.0,-106,-1.0,-106,1.5,-110,-1.5,-110
2026-01-09,c61c079ee29eb667d4e178455338ea6f,Golden State Warriors,Sacramento Kings,-14.5,-110,14.5,-110,-15.0,-109,15.0,-111,-14.5,-114,14.5,-112,-15.0,-110,15.0,-110,-14.5,-115,14.5,-105,-14.5,-110,14.5,-110,-14.5,-110,14.5,-110,-15.0,-105,15.0,-107,-14.5,-110,14.5,-110
2026-01-09,8a5088f34ae01a11b3711cbdc527e1b2,Portland Trail Blazers,Houston Rockets,6.5,-105,-6.5,-115,6.5,-105,-6.5,-115,6.5,-112,-6.5,-114,6.5,-110,-6.5,-110,6.5,-105,-6.5,-115,6.5,-105,-6.5,-115,6.5,-106,-6.5,-114,6.5,-101,-6.5,-111,6.5,-110,-6.5,-110
2026-01-09,a9857db3ddf26169b1e7cccd8e789eb0,Los Angeles Lakers,Milwaukee Bucks,,,,,-3.5,-106,3.5,-114,-3.5,-109,3.5,-117,-3.5,-110,3.5,-110,-3.0,-115,3.0,-105,-3.5,-105,3.5,-115,-3.0,-114,3.0,-106,-3.5,-102,3.5,-110,-3.0,-110,3.0,-110
2026-01-09,5c1f4cbd4744f39236ce846ba75eaa57,Cleveland Cavaliers,Minnesota Timberwolves,,,,,-2.5,-110,2.5,-110,,,,,,,,,,,,,,,,,-2.0,-110,2.0,-110,-2.5,-106,2.5,-106,,,,
