date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-01-24,dd0de6a71d58d486094b3cdea27535f9,Philadelphia 76ers,New York Knicks,7.5,-110,-7.5,-118,,,,,7.5,-120,-7.5,-114,,,,,7.5,-105,-7.5,-125,7.5,-125,-7.5,-106,,,,,5.5,-111,-5.5,-118
2026-01-24,08532c5ceb916194106d04e818ec4511,Orlando Magic,Cleveland Cavaliers,-2.5,-110,2.5,-110,-1.0,-115,1.0,-105,-1.0,-115,1.0,-110,-1.0,-110,1.0,-110,1.5,-120,-1.5,100,-1.0,-108,1.0,-112,-1.0,-111,1.0,-101,-1.0,-110,1.0,-110
2026-01-24,7b855fffbf51faed6fdde563f8e8f04f,Chicago Bulls,Boston Celtics,3.5,-110,-3.5,-110,3.5,-113,-3.5,-107,3.5,-113,-3.5,-113,3.5,-110,-3.5,-110,3.5,-112,-3.5,-108,3.5,-110,-3.5,-110,3.5,-109,-3.5,-103,3.5,-110,-3.5,-110
2026-01-24,b08d08f0411cb83292c7ae0faaf00acc,Dallas Mavericks,Los Angeles Lakers,,,,,4.0,-112,-4.0,-108,4.0,-113,-4.0,-113,4.0,-110,-4.0,-110,3.5,-108,-3.5,-112,4.0,-112,-4.0,-108,4.0,-108,-4.0,-104,4.0,-110,-4.0,-110
2026-01-24,e4b54e9313f1fd330f5dc6a41a79c6e0,Utah Jazz,Miami Heat,6.5,-105,-6.5,-115,7.0,-113,-7.0,-107,6.5,-109,-6.5,-117,7.0,-110,-7.0,-110,6.5,-108,-6.5,-112,7.0,-110,-7.0,-110,7.0,-109,-7.0,-103,7.0,-110,-7.0,-110
2026-01-24,5fbfee96c689932bc0a407ba529153bc,Minnesota Timberwolves,Golden State Warriors,,,,,,,,,,,,,,,,,,,,,-5.0,-112,5.0,-108,,,,,,,,
