date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2025-12-12,ed94a98c5965c7f5edaf8e956db10d63,Detroit Pistons,Atlanta Hawks,-6.5,-115,6.5,-105,-7.0,-107,7.0,-113,-6.5,-117,6.5,-109,-7.0,-110,7.0,-110,-7.0,-110,7.0,-110,-6.5,-115,6.5,-105,-6.5,-114,6.5,-106,-7.0,-103,7.0,-109,-7.0,-110,7.0,-110
2025-12-12,1718bd83d0e967f099a883a4df92d7a5,Charlotte Hornets,Chicago Bulls,2.5,-105,-2.5,-115,3.0,-107,-3.0,-113,3.5,-115,-3.5,-110,3.0,-110,-3.0,-110,3.0,-110,-3.0,-110,2.5,-105,-2.5,-115,3.0,-112,-3.0,-108,3.0,-103,-3.0,-109,3.0,-110,-3.0,-110
2025-12-12,a365ef6ee881da6cbcbb41b19a203942,Washington Wizards,Cleveland Cavaliers,15.5,-115,-15.5,-105,15.0,-110,-15.0,-110,15.5,-115,-15.5,-110,15.0,-110,-15.0,-110,15.5,-115,-15.5,-105,14.5,-105,-14.5,-115,15.0,-106,-15.0,-114,15.0,-106,-15.0,-106,15.0,-110,-15.0,-110
2025-12-12,3b851b37fe204032efa750f6e6cde66e,Philadelphia 76ers,Indiana Pacers,-6.5,-120,6.5,100,-7.0,-112,7.0,-108,-7.5,-109,7.5,-117,-7.0,-110,7.0,-110,-7.0,-115,7.0,-105,-7.5,-102,7.5,-118,-7.0,-110,7.0,-110,-7.0,-108,7.0,-104,-7.0,-110,7.0,-110
2025-12-12,0bc4679b4f3eed7ea44f40f68984214c,Memphis Grizzlies,Utah Jazz,-7.5,-105,7.5,-115,-7.0,-113,7.0,-107,-7.5,-117,7.5,-109,-7.0,-110,7.0,-110,-7.0,-110,7.0,-110,-7.5,-105,7.5,-115,-7.0,-110,7.0,-110,-7.0,-109,7.0,-103,-7.0,-110,7.0,-110
2025-12-12,f43f63c4089813a0e3aa0ec0c9ccdd1e,Dallas Mavericks,Brooklyn Nets,-7.5,-115,7.5,-105,-8.0,-105,8.0,-115,-7.5,-113,7.5,-113,-8.0,-110,8.0,-110,-8.0,-110,8.0,-110,-7.5,-120,7.5,100,-8.0,-110,8.0,-110,-8.0,-101,8.0,-111,-8.0,-110,8.0,-110
2025-12-12,3d88af9ad2aeef52ba326706e3044c2c,Golden State Warriors,Minnesota Timberwolves,-4.5,-105,4.5,-115,-4.0,-110,4.0,-110,-4.5,-113,4.5,-112,,,,,-4.0,-105,4.0,-115,-4.5,-102,4.5,-118,-4.5,-108,4.5,-112,-4.0,-106,4.0,-106,-4.5,-110,4.5,-110
2025-12-12,a5415e46c5fcbe0d07e9354d57ac89f5,Orlando Magic,New York Knicks,,,,,5.0,-110,-5.0,-110,5.0,-113,-5.0,-113,,,,,5.5,-110,-5.5,-110,5.5,-118,-5.5,-102,5.0,-110,-5.0,-110,5.0,-106,-5.0,-106,5.0,-110,-5.0,-110
2025-12-12,2bb4fb503eee5d6ccee6f70bb183ba0f,Oklahoma City Thunder,San Antonio Spurs,,,,,-9.0,-110,9.0,-110,-9.0,-115,9.0,-110,,,,,-9.0,-110,9.0,-110,-8.5,-120,8.5,100,-9.0,-112,9.0,-108,-9.0,-106,9.0,-106,-9.0,-110,9.0,-110
