date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-05-30,8a5c809023ac02dbc083529560ee8723,2026-05-30T18:11:00Z,Chicago White Sox,Detroit Tigers,1.5,-175,-1.5,145,1.5,-165,-1.5,145,1.5,-165,-1.5,133,1.5,-165,-1.5,144,1.5,-165,-1.5,140,1.5,-168,-1.5,139,1.5,-164,-1.5,136,1.5,-165,-1.5,146,1.5,-183,-1.5,154
2026-05-30,2104fc0f4d7adc96b751d4f8c716488b,2026-05-30T20:06:00Z,Baltimore Orioles,Toronto Blue Jays,1.5,-165,-1.5,135,1.5,-160,-1.5,140,1.5,-167,-1.5,135,1.5,-160,-1.5,140,1.5,-165,-1.5,140,1.5,-164,-1.5,136,1.5,-178,-1.5,146,1.5,-160,-1.5,141,1.5,-160,-1.5,131
2026-05-30,efa0af51f919239d99680943c9c381f1,2026-05-30T20:06:00Z,Texas Rangers,Kansas City Royals,-1.5,170,1.5,-225,-1.5,177,1.5,-205,-1.5,163,1.5,-210,-1.5,176,1.5,-205,-1.5,175,1.5,-210,1.5,-191,-1.5,157,1.5,-220,-1.5,180,-1.5,179,1.5,-204,-1.5,166,1.5,-206
2026-05-30,3cd955325a156c1972d7e1925a6ed38a,2026-05-30T20:06:00Z,Pittsburgh Pirates,Minnesota Twins,,,,,-1.5,149,1.5,-170,-1.5,150,1.5,-190,-1.5,148,1.5,-170,-1.5,150,1.5,-175,-1.5,144,1.5,-175,-1.5,146,1.5,-178,-1.5,150,1.5,-170,-1.5,142,1.5,-175
2026-05-30,adde69ed429a06ae4ecc9bd2fed0984b,2026-05-30T20:06:00Z,Washington Nationals,San Diego Padres,1.5,-160,-1.5,135,1.5,-155,-1.5,135,1.5,-162,-1.5,130,1.5,-155,-1.5,135,1.5,-160,-1.5,135,1.5,-162,-1.5,134,1.5,-162,-1.5,134,1.5,-154,-1.5,136,1.5,-167,-1.5,135
2026-05-30,d6a18ca53a7a4bc724578be12562f52e,2026-05-30T20:11:00Z,Cleveland Guardians,Boston Red Sox,-1.5,180,1.5,-220,-1.5,174,1.5,-200,-1.5,175,1.5,-230,-1.5,172,1.5,-200,-1.5,175,1.5,-210,-1.5,168,1.5,-206,-1.5,168,1.5,-205,-1.5,175,1.5,-200,-1.5,158,1.5,-196
2026-05-30,312c8ae0a68b17cfe087b0cb699c91d6,2026-05-30T20:11:00Z,Houston Astros,Milwaukee Brewers,1.5,-175,-1.5,145,1.5,-170,-1.5,149,1.5,-175,-1.5,140,1.5,-170,-1.5,148,1.5,-170,-1.5,145,1.5,-172,-1.5,142,1.5,-184,-1.5,152,1.5,-170,-1.5,150,1.5,-172,-1.5,138
2026-05-30,2858c7dd0f121c4fc015a186967f1917,2026-05-30T20:11:00Z,Tampa Bay Rays,Los Angeles Angels,-1.5,135,1.5,-165,-1.5,140,1.5,-160,-1.5,143,1.5,-180,-1.5,140,1.5,-160,-1.5,140,1.5,-165,-1.5,138,1.5,-167,-1.5,146,1.5,-178,-1.5,141,1.5,-160,-1.5,135,1.5,-165
2026-05-30,475aad858baf7596355b69a42c08671d,2026-05-30T20:11:00Z,New York Mets,Miami Marlins,-1.5,165,1.5,-200,-1.5,165,1.5,-190,-1.5,165,1.5,-215,-1.5,164,1.5,-190,-1.5,165,1.5,-195,-1.5,162,1.5,-198,-1.5,168,1.5,-205,-1.5,166,1.5,-190,-1.5,159,1.5,-198
2026-05-30,53b2820ab963d7d15496c7dad7cf9d41,2026-05-30T23:16:00Z,Cincinnati Reds,Atlanta Braves,1.5,-140,-1.5,115,1.5,-135,-1.5,115,1.5,-139,-1.5,112,1.5,-135,-1.5,115,1.5,-130,-1.5,110,1.5,-136,-1.5,113,1.5,-138,-1.5,115,1.5,-133,-1.5,118,1.5,-132,-1.5,108
2026-05-30,2611e27228d544fecc9bd38fe032e568,2026-05-30T23:16:00Z,St. Louis Cardinals,Chicago Cubs,1.5,-145,-1.5,118,1.5,-140,-1.5,120,1.5,-148,-1.5,120,1.5,-140,-1.5,120,1.5,-140,-1.5,120,1.5,-143,-1.5,119,1.5,-150,-1.5,125,1.5,-138,-1.5,122,1.5,-141,-1.5,115
2026-05-30,eb70ec93c7895787db43edd88fbc1d5e,2026-05-31T01:11:00Z,Colorado Rockies,San Francisco Giants,1.5,-145,-1.5,120,1.5,-145,-1.5,125,1.5,-150,-1.5,120,1.5,-145,-1.5,125,1.5,-145,-1.5,125,1.5,-148,-1.5,123,1.5,-152,-1.5,126,1.5,-143,-1.5,127,1.5,-144,-1.5,117
2026-05-30,ab507c8b38a4c877ad9ecdb92226f4d1,2026-05-31T02:06:00Z,Athletics,New York Yankees,1.5,-125,-1.5,105,1.5,-125,-1.5,105,1.5,-136,-1.5,108,1.5,-125,-1.5,105,1.5,-120,-1.5,100,1.5,-126,-1.5,104,1.5,-126,-1.5,105,1.5,-122,-1.5,108,1.5,-125,-1.5,103
2026-05-30,92ca4d6ea5ebab8f636d967c1efb0fbc,2026-05-31T02:11:00Z,Seattle Mariners,Arizona Diamondbacks,-1.5,145,1.5,-175,-1.5,148,1.5,-168,-1.5,143,1.5,-180,-1.5,148,1.5,-170,-1.5,145,1.5,-170,-1.5,141,1.5,-171,-1.5,146,1.5,-178,-1.5,149,1.5,-168,-1.5,135,1.5,-165
2026-05-30,af2ba278de4989977f4bea35a317ab65,2026-05-31T02:11:00Z,Los Angeles Dodgers,Philadelphia Phillies,-1.5,165,1.5,-200,-1.5,170,1.5,-195,-1.5,163,1.5,-210,-1.5,168,1.5,-195,-1.5,160,1.5,-185,-1.5,163,1.5,-199,-1.5,164,1.5,-200,-1.5,171,1.5,-195,-1.5,158,1.5,-195
