date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-06-05,c482750265f6c9f18fd75cadd8a212f7,2026-06-05T18:21:00Z,Chicago Cubs,San Francisco Giants,-1.5,105,1.5,-130,-1.5,108,1.5,-128,-1.5,107,1.5,-132,-1.5,110,1.5,-130,-1.5,110,1.5,-130,-1.5,105,1.5,-127,-1.5,105,1.5,-126,-1.5,111,1.5,-126,-1.5,106,1.5,-125
2026-06-05,66ea890e18af0833c92b1b73b4f70b31,2026-06-05T22:41:00Z,Philadelphia Phillies,Chicago White Sox,-1.5,118,1.5,-145,-1.5,115,1.5,-135,-1.5,112,1.5,-137,-1.5,115,1.5,-135,-1.5,115,1.5,-135,-1.5,114,1.5,-137,-1.5,110,1.5,-132,-1.5,118,1.5,-133,-1.5,115,1.5,-141
2026-06-05,61be630678b155cf69cedc7df6691776,2026-06-05T22:41:00Z,Detroit Tigers,Seattle Mariners,1.5,-165,-1.5,135,1.5,-160,-1.5,140,1.5,-162,-1.5,130,1.5,-160,-1.5,140,1.5,-165,-1.5,140,1.5,-167,-1.5,138,1.5,-164,-1.5,136,1.5,-160,-1.5,141,1.5,-163,-1.5,132
2026-06-05,ff5101661dae20bbc5596f819b19aa91,2026-06-05T23:06:00Z,New York Yankees,Boston Red Sox,-1.5,140,1.5,-170,-1.5,145,1.5,-165,-1.5,150,1.5,-190,-1.5,144,1.5,-165,-1.5,145,1.5,-170,-1.5,143,1.5,-174,-1.5,146,1.5,-178,-1.5,146,1.5,-165,-1.5,136,1.5,-166
2026-06-05,13b67b1c59ce70e7e4910ab5e9bd5368,2026-06-05T23:08:00Z,Toronto Blue Jays,Baltimore Orioles,-1.5,135,1.5,-160,-1.5,138,1.5,-158,-1.5,135,1.5,-167,-1.5,140,1.5,-160,-1.5,140,1.5,-165,-1.5,135,1.5,-163,-1.5,140,1.5,-170,-1.5,139,1.5,-157,-1.5,128,1.5,-158
2026-06-05,3017532baf3b1684dbd61a6fe522963f,2026-06-05T23:11:00Z,Miami Marlins,Tampa Bay Rays,1.5,-155,-1.5,125,1.5,-145,-1.5,125,1.5,-148,-1.5,120,1.5,-145,-1.5,125,1.5,-150,-1.5,130,1.5,-149,-1.5,123,1.5,-150,-1.5,125,1.5,-143,-1.5,127,1.5,-150,-1.5,121
2026-06-05,0337473e55cde0d4fc1639b00f3693bb,2026-06-05T23:16:00Z,Atlanta Braves,Pittsburgh Pirates,-1.5,140,1.5,-170,-1.5,145,1.5,-165,-1.5,135,1.5,-167,-1.5,144,1.5,-165,-1.5,145,1.5,-170,-1.5,141,1.5,-171,-1.5,140,1.5,-170,-1.5,146,1.5,-165,-1.5,140,1.5,-172
2026-06-05,1d8a9b26dd1f22bf40d5e49211afaad6,2026-06-06T00:11:00Z,Houston Astros,Athletics,1.5,-185,-1.5,150,1.5,-175,-1.5,153,1.5,-167,-1.5,135,1.5,-175,-1.5,152,1.5,-175,-1.5,150,1.5,-175,-1.5,144,1.5,-178,-1.5,146,1.5,-175,-1.5,154,1.5,-178,-1.5,143
2026-06-05,1d544da1be60c459ec6d6c8163cc9ff8,2026-06-06T00:16:00Z,St. Louis Cardinals,Cincinnati Reds,-1.5,140,1.5,-170,-1.5,145,1.5,-165,-1.5,150,1.5,-186,-1.5,144,1.5,-165,-1.5,145,1.5,-170,-1.5,143,1.5,-174,-1.5,142,1.5,-176,-1.5,146,1.5,-165,-1.5,138,1.5,-171
2026-06-05,a7d8743870a8d7fb01aed50a9fc46f88,2026-06-06T00:16:00Z,Texas Rangers,Cleveland Guardians,1.5,-170,-1.5,140,1.5,-153,-1.5,133,1.5,-152,-1.5,123,1.5,-155,-1.5,135,1.5,-160,-1.5,135,1.5,-162,-1.5,134,1.5,-164,-1.5,136,1.5,-152,-1.5,134,1.5,-162,-1.5,132
