date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-21,c3a389932a73d413d0f0e503a36712ea,Cleveland Guardians,Houston Astros,-1.5,140,1.5,-170,-1.5,142,1.5,-162,-1.5,143,1.5,-180,-1.5,140,1.5,-160,-1.5,145,1.5,-170,-1.5,139,1.5,-168,-1.5,140,1.5,-170,-1.5,143,1.5,-162,-1.5,134,1.5,-167
2026-04-21,1d3c338edb1851414b920c5e62833c42,Tampa Bay Rays,Cincinnati Reds,1.5,-185,-1.5,150,1.5,-171,-1.5,150,1.5,-200,-1.5,160,1.5,-170,-1.5,148,1.5,-180,-1.5,155,1.5,-181,-1.5,149,1.5,-184,-1.5,152,1.5,-171,-1.5,151,1.5,-179,-1.5,145
2026-04-21,bce74dac7fe3dd7ecf80111287a3dd34,Detroit Tigers,Milwaukee Brewers,1.5,-190,-1.5,155,-1.5,177,1.5,-205,1.5,-200,-1.5,160,-1.5,176,1.5,-205,-1.5,180,1.5,-220,1.5,-179,-1.5,148,1.5,-205,-1.5,168,-1.5,179,1.5,-204,1.5,-185,-1.5,149
2026-04-21,5e611c984388d54390d6d9a5518d84be,Miami Marlins,St. Louis Cardinals,1.5,-190,-1.5,155,-1.5,175,1.5,-202,1.5,-195,-1.5,155,-1.5,172,1.5,-200,-1.5,180,1.5,-220,1.5,-185,-1.5,152,1.5,-196,-1.5,162,-1.5,176,1.5,-201,1.5,-192,-1.5,156
2026-04-21,b1f2c684186f6906566a63d457c86009,Washington Nationals,Atlanta Braves,1.5,-155,-1.5,125,1.5,-145,-1.5,125,1.5,-150,-1.5,120,1.5,-145,-1.5,125,1.5,-140,-1.5,120,1.5,-149,-1.5,123,1.5,-140,-1.5,116,1.5,-143,-1.5,127,1.5,-147,-1.5,120
2026-04-21,d5285248b8322f4781920eb06d586c63,Boston Red Sox,New York Yankees,-1.5,165,1.5,-220,-1.5,170,1.5,-195,1.5,-200,-1.5,160,-1.5,168,1.5,-195,-1.5,175,1.5,-210,1.5,-203,-1.5,166,-1.5,168,1.5,-205,-1.5,171,1.5,-195,-1.5,157,1.5,-196
2026-04-21,e56e51d0e26b298582dc9ebe9dcf1e22,New York Mets,Minnesota Twins,,,,,-1.5,135,1.5,-155,-1.5,123,1.5,-152,-1.5,140,1.5,-160,-1.5,130,1.5,-150,-1.5,129,1.5,-156,-1.5,122,1.5,-146,-1.5,136,1.5,-154,-1.5,127,1.5,-156
2026-04-21,b1a87295d83bffd8d9d702ba76f4b1bd,Kansas City Royals,Baltimore Orioles,-1.5,155,1.5,-190,-1.5,155,1.5,-177,-1.5,150,1.5,-186,-1.5,152,1.5,-175,-1.5,160,1.5,-185,-1.5,149,1.5,-181,-1.5,162,1.5,-196,-1.5,156,1.5,-177,-1.5,145,1.5,-179
2026-04-21,fd082c9fac90847ff16ee7691851778f,Chicago Cubs,Philadelphia Phillies,1.5,-200,-1.5,165,-1.5,168,1.5,-193,1.5,-200,-1.5,160,-1.5,168,1.5,-195,-1.5,175,1.5,-210,1.5,-189,-1.5,155,1.5,-194,-1.5,160,-1.5,169,1.5,-193,-1.5,159,1.5,-196
2026-04-21,8dd01844bbaffc7ec461c4e06ea83b42,Texas Rangers,Pittsburgh Pirates,1.5,-190,-1.5,155,,,,,1.5,-220,-1.5,170,-1.5,180,1.5,-210,-1.5,180,1.5,-220,1.5,-184,-1.5,151,1.5,-182,-1.5,150,,,,,1.5,-189,-1.5,153
