date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-16,74f39156689a078022ede0ab999cd304,Pittsburgh Pirates,Washington Nationals,-1.5,125,1.5,-155,-1.5,128,1.5,-148,-1.5,128,1.5,-159,-1.5,130,1.5,-150,-1.5,130,1.5,-150,-1.5,119,1.5,-144,-1.5,136,1.5,-164,-1.5,130,1.5,-147,-1.5,126,1.5,-155
2026-04-16,58f0238587c37c6200e35bece1cdc6a2,Cincinnati Reds,San Francisco Giants,1.5,-210,-1.5,170,-1.5,165,1.5,-190,-1.5,170,1.5,-220,-1.5,164,1.5,-190,-1.5,165,1.5,-195,-1.5,163,1.5,-199,-1.5,164,1.5,-200,-1.5,166,1.5,-190,-1.5,158,1.5,-198
2026-04-16,01461c715fdcb8321ca3e4ed2762e436,Detroit Tigers,Kansas City Royals,1.5,-175,-1.5,145,1.5,-160,-1.5,140,1.5,-180,-1.5,143,1.5,-160,-1.5,140,1.5,-170,-1.5,145,1.5,-173,-1.5,143,1.5,-166,-1.5,138,1.5,-160,-1.5,141,1.5,-169,-1.5,137
2026-04-16,25ef39bccec531e95be4427ad60576d2,New York Yankees,Los Angeles Angels,-2.5,110,2.5,-135,-1.5,-136,1.5,116,-1.5,-143,1.5,116,-1.5,-135,1.5,115,-1.5,-140,1.5,120,-1.5,-136,1.5,113,-1.5,-150,1.5,125,-1.5,-134,1.5,119,-2.5,-101,2.5,-120
2026-04-16,d28f023fdea4d8299ebf509d22707293,Milwaukee Brewers,Toronto Blue Jays,1.5,-200,-1.5,165,-1.5,173,1.5,-198,-1.5,163,1.5,-205,-1.5,180,1.5,-210,-1.5,170,1.5,-200,1.5,-180,-1.5,148,1.5,-196,-1.5,162,-1.5,174,1.5,-198,1.5,-192,-1.5,156
2026-04-16,99d0656dfdf7a804df87e510c4687f62,Chicago White Sox,Tampa Bay Rays,1.5,-160,-1.5,135,1.5,-146,-1.5,126,1.5,-159,-1.5,128,1.5,-145,-1.5,125,1.5,-145,-1.5,125,1.5,-149,-1.5,123,1.5,-152,-1.5,126,1.5,-145,-1.5,128,1.5,-149,-1.5,121
2026-04-16,1be686414809592c870949866675b3f0,Athletics,Texas Rangers,1.5,-165,-1.5,135,1.5,-156,-1.5,136,1.5,-175,-1.5,140,1.5,-155,-1.5,135,1.5,-165,-1.5,140,1.5,-163,-1.5,135,1.5,-172,-1.5,142,1.5,-155,-1.5,137,1.5,-167,-1.5,136
2026-04-16,50a6b335289549d2d3f41d9072e8d031,Cleveland Guardians,Baltimore Orioles,1.5,-220,-1.5,165,-1.5,170,1.5,-195,1.5,-220,-1.5,170,-1.5,172,1.5,-200,-1.5,170,1.5,-200,1.5,-198,-1.5,162,-1.5,168,1.5,-205,-1.5,171,1.5,-195,-1.5,170,1.5,-214
2026-04-16,2813553c6a0cdab5c77497cf373aa7af,Houston Astros,Colorado Rockies,-1.5,125,1.5,-155,-1.5,125,1.5,-145,-1.5,125,1.5,-157,-1.5,125,1.5,-145,-1.5,125,1.5,-145,-1.5,123,1.5,-149,-1.5,116,1.5,-140,-1.5,127,1.5,-143,-1.5,122,1.5,-149
2026-04-16,34fa181a3e06104ac8bb8d652bffbae7,San Diego Padres,Seattle Mariners,1.5,-170,-1.5,140,1.5,-165,-1.5,145,1.5,-165,-1.5,132,1.5,-165,-1.5,144,1.5,-165,-1.5,140,1.5,-168,-1.5,139,1.5,-164,-1.5,136,1.5,-165,-1.5,146,1.5,-169,-1.5,138
