date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-06-04,8f76a0f8197d7420bf1e1eb9f5d94159,2026-06-04T17:06:00Z,Philadelphia Phillies,San Diego Padres,-1.5,-110,1.5,-110,-1.5,-110,1.5,-110,-1.5,100,1.5,-125,-1.5,-110,1.5,-110,-1.5,-105,1.5,-115,-1.5,-102,1.5,-119,-1.5,-108,1.5,-111,-1.5,-107,1.5,-107,-1.5,-108,1.5,-113
2026-06-04,8ba83a5fb0f9d2b93807e073204a5850,2026-06-04T17:36:00Z,Boston Red Sox,Baltimore Orioles,1.5,-190,-1.5,154,-1.5,160,1.5,-183,1.5,-186,-1.5,150,-1.5,164,1.5,-190,-1.5,160,1.5,-185,1.5,-186,-1.5,153,1.5,-184,-1.5,152,-1.5,161,1.5,-183,1.5,-184,-1.5,155
2026-06-04,a0dbb7bbd28b837d0732bfad7f975e9f,2026-06-04T17:36:00Z,New York Yankees,Cleveland Guardians,-1.5,125,1.5,-150,-1.5,125,1.5,-145,-1.5,120,1.5,-150,-1.5,130,1.5,-150,-1.5,125,1.5,-145,-1.5,124,1.5,-149,-1.5,122,1.5,-146,-1.5,127,1.5,-143,-1.5,126,1.5,-150
2026-06-04,21eff9bb5b8451ea2abb9e638ed600e3,2026-06-04T18:11:00Z,Milwaukee Brewers,San Francisco Giants,-1.5,100,1.5,-120,-1.5,100,1.5,-120,-1.5,-103,1.5,-122,-1.5,100,1.5,-120,-1.5,100,1.5,-120,-1.5,102,1.5,-123,-1.5,106,1.5,-128,-1.5,103,1.5,-117,-1.5,100,1.5,-117
2026-06-04,5dfa37c10be5e8b012bf4fe64b302fa3,2026-06-04T23:15:00Z,Atlanta Braves,Toronto Blue Jays,-1.5,-118,1.5,-102,-1.5,-118,1.5,-102,-1.5,-109,1.5,-114,-1.5,-120,1.5,100,-1.5,-110,1.5,-110,-1.5,-117,1.5,-103,-1.5,-111,1.5,-108,-1.5,-115,1.5,101,-1.5,-115,1.5,-105
2026-06-04,77284803e3bb753f121e4c2b4a20ea8e,2026-06-04T23:41:00Z,Minnesota Twins,Kansas City Royals,,,,,1.5,-155,-1.5,135,1.5,-175,-1.5,140,1.5,-155,-1.5,135,1.5,-160,-1.5,135,1.5,-163,-1.5,135,1.5,-164,-1.5,136,1.5,-154,-1.5,136,1.5,-158,-1.5,129
2026-06-04,51cce7bcf24220f34920f5fc8ae977d5,2026-06-05T00:06:00Z,Chicago Cubs,Athletics,-1.5,145,1.5,-180,-1.5,153,1.5,-175,-1.5,140,1.5,-175,-1.5,148,1.5,-170,-1.5,145,1.5,-170,-1.5,143,1.5,-174,-1.5,138,1.5,-166,-1.5,154,1.5,-175,-1.5,142,1.5,-175
2026-06-04,bd13c90444ac849f846564fe0fa941e7,2026-06-05T00:11:00Z,Houston Astros,Pittsburgh Pirates,1.5,-190,-1.5,155,-1.5,180,1.5,-210,1.5,-186,-1.5,150,-1.5,176,1.5,-205,-1.5,180,1.5,-220,1.5,-181,-1.5,149,1.5,-182,-1.5,150,-1.5,182,1.5,-209,1.5,-183,-1.5,148
2026-06-04,2acc5473be6d726025c973a3d148e6b0,2026-06-05T01:41:00Z,Arizona Diamondbacks,Los Angeles Dodgers,1.5,-140,-1.5,115,1.5,-135,-1.5,115,1.5,-141,-1.5,114,1.5,-135,-1.5,115,1.5,-140,-1.5,120,1.5,-141,-1.5,117,1.5,-146,-1.5,122,1.5,-133,-1.5,118,1.5,-144,-1.5,116
