date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-04-03,0f9bae674791b2ef6540b6c885ca8d67,Washington Nationals,Los Angeles Dodgers,2.5,-105,-2.5,-115,1.5,149,-1.5,-170,1.5,132,-1.5,-162,1.5,144,-1.5,-165,1.5,145,-1.5,-170,1.5,141,-1.5,-171,1.5,138,-1.5,-166,1.5,150,-1.5,-170,2.5,-108,-2.5,-114
2026-04-03,14327f7727c0e0583fd6784561320578,Detroit Tigers,St. Louis Cardinals,-1.5,118,1.5,-140,-1.5,122,1.5,-142,-1.5,123,1.5,-152,-1.5,120,1.5,-140,-1.5,120,1.5,-140,-1.5,119,1.5,-143,-1.5,116,1.5,-140,-1.5,124,1.5,-140,-1.5,115,1.5,-141
2026-04-03,2bb9ef2181cdb59b76492b604e5256d6,New York Yankees,Miami Marlins,-1.5,125,1.5,-150,-1.5,130,1.5,-150,-1.5,114,1.5,-141,-1.5,130,1.5,-150,-1.5,130,1.5,-150,-1.5,123,1.5,-149,-1.5,118,1.5,-142,-1.5,132,1.5,-149,-1.5,118,1.5,-146
2026-04-03,292a9ce022187e0a27729ba402751e8c,Boston Red Sox,San Diego Padres,1.5,-200,-1.5,165,-1.5,164,1.5,-188,-1.5,163,1.5,-210,-1.5,164,1.5,-190,-1.5,170,1.5,-200,-1.5,163,1.5,-199,1.5,-205,-1.5,168,-1.5,165,1.5,-188,-1.5,159,1.5,-196
2026-04-03,86847e700f1f4f34225dc6187f7c1257,Chicago White Sox,Toronto Blue Jays,1.5,105,-1.5,-125,1.5,103,-1.5,-123,1.5,-105,-1.5,-118,1.5,105,-1.5,-125,1.5,105,-1.5,-125,1.5,102,-1.5,-122,1.5,104,-1.5,-125,1.5,106,-1.5,-120,1.5,-103,-1.5,-118
2026-04-03,8f72c90df46c96451049020f8482d5c7,Texas Rangers,Cincinnati Reds,-1.5,125,1.5,-150,-1.5,117,1.5,-137,-1.5,128,1.5,-159,-1.5,120,1.5,-140,-1.5,120,1.5,-140,-1.5,123,1.5,-149,-1.5,122,1.5,-146,-1.5,119,1.5,-135,-1.5,124,1.5,-154
2026-04-03,9c1e11abdcd795ef8ff437128ea5e829,Cleveland Guardians,Chicago Cubs,1.5,-175,-1.5,145,1.5,-170,-1.5,149,1.5,-167,-1.5,135,1.5,-170,-1.5,148,1.5,-170,-1.5,145,1.5,-171,-1.5,141,1.5,-184,-1.5,155,1.5,-170,-1.5,150,1.5,-175,-1.5,142
2026-04-03,dcf384a7692bd7df83a96e49919f2dc0,Colorado Rockies,Philadelphia Phillies,2.5,-130,-2.5,110,1.5,108,-1.5,-128,1.5,117,-1.5,-143,1.5,110,-1.5,-130,1.5,110,-1.5,-130,1.5,109,-1.5,-131,1.5,114,-1.5,-137,1.5,111,-1.5,-126,1.5,103,-1.5,-125
2026-04-03,02a4ac33822ef29632a98a54a26c6e72,Minnesota Twins,Tampa Bay Rays,,,,,-1.5,186,1.5,-220,1.5,-200,-1.5,160,-1.5,188,1.5,-220,-1.5,190,1.5,-230,1.5,-177,-1.5,146,1.5,-200,-1.5,164,-1.5,189,1.5,-218,1.5,-189,-1.5,153
2026-04-03,79116c311ac42e78eb951ee46440d09f,Pittsburgh Pirates,Baltimore Orioles,1.5,-170,-1.5,140,1.5,-155,-1.5,135,1.5,-165,-1.5,132,1.5,-155,-1.5,135,1.5,-160,-1.5,135,1.5,-163,-1.5,135,1.5,-164,-1.5,136,1.5,-154,-1.5,136,1.5,-161,-1.5,132
