date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-06-23,6bdf881264922e973fe4c3736ec56434,2026-06-23T20:08:00Z,Toronto Blue Jays,Houston Astros,-1.5,150,1.5,-185,-1.5,157,1.5,-180,-1.5,143,1.5,-180,-1.5,156,1.5,-180,-1.5,160,1.5,-185,-1.5,153,1.5,-186,-1.5,158,1.5,-192,-1.5,158,1.5,-180,-1.5,156,1.5,-183
2026-06-23,a43d950c1c96c23836217db2342cee9e,2026-06-23T22:41:00Z,Detroit Tigers,New York Yankees,1.5,-185,-1.5,150,1.5,-180,-1.5,157,1.5,-180,-1.5,143,1.5,-180,-1.5,156,1.5,-170,-1.5,145,1.5,-181,-1.5,149,1.5,-192,-1.5,158,1.5,-180,-1.5,158,1.5,-176,-1.5,149
2026-06-23,9fa5e76b55b273aa4d6f75fb24292c4b,2026-06-23T22:41:00Z,Tampa Bay Rays,Kansas City Royals,-1.5,115,1.5,-140,-1.5,117,1.5,-137,-1.5,114,1.5,-139,-1.5,115,1.5,-135,-1.5,115,1.5,-135,-1.5,113,1.5,-136,-1.5,116,1.5,-140,-1.5,119,1.5,-135,-1.5,115,1.5,-135
2026-06-23,452edc1a46fc100945cc12d4d7f93456,2026-06-23T22:41:00Z,Miami Marlins,Texas Rangers,-1.5,135,1.5,-160,-1.5,135,1.5,-155,-1.5,143,1.5,-180,-1.5,135,1.5,-155,-1.5,135,1.5,-160,-1.5,134,1.5,-162,-1.5,136,1.5,-164,-1.5,136,1.5,-154,-1.5,131,1.5,-156
2026-06-23,11027b764d42622bddc30dee244472db,2026-06-23T22:41:00Z,Pittsburgh Pirates,Seattle Mariners,1.5,-160,-1.5,135,1.5,-154,-1.5,134,1.5,-165,-1.5,133,1.5,-155,-1.5,135,1.5,-160,-1.5,135,1.5,-162,-1.5,134,1.5,-162,-1.5,134,1.5,-153,-1.5,135,1.5,-157,-1.5,133
2026-06-23,c905209c213ea7ae9708b815df0db1bc,2026-06-23T22:46:00Z,Washington Nationals,Philadelphia Phillies,1.5,-110,-1.5,-110,1.5,-110,-1.5,-110,1.5,-114,-1.5,-109,1.5,-110,-1.5,-110,1.5,-115,-1.5,-105,1.5,-115,-1.5,-104,1.5,-118,-1.5,-102,1.5,-107,-1.5,-107,1.5,-113,-1.5,-103
2026-06-23,3c8c7e3e1d75b778dae56183c479e8b0,2026-06-23T23:11:00Z,New York Mets,Chicago Cubs,1.5,-200,-1.5,165,-1.5,177,1.5,-205,1.5,-215,-1.5,165,-1.5,176,1.5,-205,-1.5,175,1.5,-210,1.5,-198,-1.5,162,1.5,-210,-1.5,172,-1.5,179,1.5,-204,1.5,-208,-1.5,173
2026-06-23,880267269fc4e95b1ac7fe887416bd21,2026-06-23T23:11:00Z,Cincinnati Reds,Milwaukee Brewers,1.5,-170,-1.5,140,1.5,-163,-1.5,143,1.5,-165,-1.5,132,1.5,-165,-1.5,144,-1.5,180,1.5,-220,1.5,-171,-1.5,141,1.5,-172,-1.5,142,1.5,-163,-1.5,144,1.5,-167,-1.5,141
2026-06-23,39e0cc872d2c36e97a7b36304a527072,2026-06-23T23:41:00Z,Chicago White Sox,Cleveland Guardians,1.5,-185,-1.5,150,1.5,-180,-1.5,157,1.5,-177,-1.5,140,1.5,-180,-1.5,156,1.5,-180,-1.5,155,1.5,-186,-1.5,153,1.5,-196,-1.5,162,1.5,-180,-1.5,158,1.5,-183,-1.5,155
2026-06-23,3984bf07976050590dd9101fcfda8a0d,2026-06-23T23:41:00Z,Minnesota Twins,Los Angeles Dodgers,,,,,1.5,-115,-1.5,-105,1.5,-125,-1.5,102,1.5,-115,-1.5,-105,1.5,-115,-1.5,-105,1.5,-115,-1.5,-105,1.5,-113,-1.5,-106,1.5,-112,-1.5,-102,1.5,-112,-1.5,-105
