date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-07-02,0d018935d27849176c88ca1dae8a8da8,2026-07-02T16:36:00Z,Philadelphia Phillies,Pittsburgh Pirates,-1.5,145,1.5,-175,-1.5,146,1.5,-166,-1.5,150,1.5,-190,-1.5,144,1.5,-165,-1.5,150,1.5,-175,-1.5,144,1.5,-175,-1.5,150,1.5,-182,-1.5,147,1.5,-166,-1.5,148,1.5,-175
2026-07-02,2bbaa286b732c0af8947d273e164f15e,2026-07-02T18:11:00Z,Milwaukee Brewers,Cincinnati Reds,-1.5,118,1.5,-140,-1.5,117,1.5,-137,-1.5,123,1.5,-152,-1.5,115,1.5,-135,-1.5,115,1.5,-135,-1.5,119,1.5,-143,-1.5,118,1.5,-142,-1.5,119,1.5,-135,-1.5,117,1.5,-138
2026-07-02,bf902b3b8ba731d8cf4b422470319439,2026-07-02T19:11:00Z,Colorado Rockies,Miami Marlins,1.5,-130,-1.5,110,1.5,-130,-1.5,110,1.5,-139,-1.5,112,1.5,-130,-1.5,110,1.5,-125,-1.5,105,1.5,-133,-1.5,110,1.5,-125,-1.5,104,1.5,-128,-1.5,113,1.5,-129,-1.5,110
2026-07-02,6f7b9d64e494097e8646d88ca4c33577,2026-07-02T22:41:00Z,Cleveland Guardians,Chicago White Sox,1.5,-175,-1.5,145,1.5,-170,-1.5,149,1.5,-186,-1.5,150,1.5,-170,-1.5,148,-1.5,185,1.5,-225,1.5,-180,-1.5,148,1.5,-182,-1.5,150,1.5,-170,-1.5,150,1.5,-178,-1.5,150
2026-07-02,a0e93fcad5a057f362a048be909d86c8,2026-07-02T23:16:00Z,Atlanta Braves,St. Louis Cardinals,,,,,-1.5,177,1.5,-205,1.5,-186,-1.5,150,-1.5,176,1.5,-205,-1.5,175,1.5,-210,1.5,-188,-1.5,154,1.5,-188,-1.5,155,-1.5,179,1.5,-204,1.5,-186,-1.5,156
2026-07-02,e01b5de283d3047c0c1bc73082a2d67a,2026-07-02T23:41:00Z,Kansas City Royals,Tampa Bay Rays,1.5,-150,-1.5,125,1.5,-145,-1.5,125,1.5,-148,-1.5,120,1.5,-145,-1.5,125,1.5,-145,-1.5,125,1.5,-144,-1.5,119,1.5,-146,-1.5,122,1.5,-143,-1.5,127,1.5,-145,-1.5,123
2026-07-02,63d068d292e5a379ba2a1d669c979313,2026-07-03T00:06:00Z,Texas Rangers,Detroit Tigers,1.5,-200,-1.5,165,-1.5,183,1.5,-215,1.5,-235,-1.5,175,-1.5,184,1.5,-215,-1.5,180,1.5,-220,1.5,-205,-1.5,168,1.5,-188,-1.5,155,-1.5,185,1.5,-213,1.5,-192,-1.5,163
2026-07-02,283444f773ee82cae9a5977e9266baac,2026-07-03T01:41:00Z,Seattle Mariners,Los Angeles Angels,-1.5,105,1.5,-125,-1.5,105,1.5,-125,-1.5,108,1.5,-134,-1.5,105,1.5,-125,-1.5,110,1.5,-130,-1.5,108,1.5,-130,-1.5,112,1.5,-134,-1.5,108,1.5,-122,-1.5,107,1.5,-126
2026-07-02,ae95cd98700fec55791774682d6b0b06,2026-07-03T02:11:00Z,Los Angeles Dodgers,San Diego Padres,-1.5,105,1.5,-125,-1.5,105,1.5,-125,-1.5,104,1.5,-129,-1.5,105,1.5,-125,-1.5,105,1.5,-125,-1.5,105,1.5,-126,-1.5,106,1.5,-128,-1.5,108,1.5,-122,-1.5,105,1.5,-123
