date,game_id,commence_time,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-07-22,8291188eca889695bdbc42aac91ad1e5,2026-07-22T17:06:00Z,New York Yankees,Pittsburgh Pirates,-1.5,110,1.5,-135,-1.5,110,1.5,-130,-1.5,112,1.5,-136,-1.5,110,1.5,-130,-1.5,110,1.5,-130,-1.5,109,1.5,-131,-1.5,112,1.5,-134,-1.5,113,1.5,-128,-1.5,116,1.5,-137
2026-07-22,10ee5044193bffe8f24adf381ebde5ad,2026-07-22T17:36:00Z,Boston Red Sox,Baltimore Orioles,-1.5,125,1.5,-155,-1.5,127,1.5,-147,-1.5,125,1.5,-152,-1.5,125,1.5,-145,-1.5,125,1.5,-145,-1.5,124,1.5,-150,-1.5,134,1.5,-162,-1.5,129,1.5,-146,-1.5,125,1.5,-147
2026-07-22,a319064ad34e8e60220140acb9035af3,2026-07-22T18:11:00Z,Kansas City Royals,San Francisco Giants,1.5,-155,-1.5,125,1.5,-145,-1.5,125,1.5,-155,-1.5,125,1.5,-145,-1.5,125,1.5,-150,-1.5,130,1.5,-149,-1.5,124,1.5,-156,-1.5,130,1.5,-143,-1.5,127,1.5,-150,-1.5,128
2026-07-22,a362299f25a2814e5b0e40d072bb782f,2026-07-22T18:11:00Z,Milwaukee Brewers,New York Mets,-1.5,140,1.5,-170,-1.5,140,1.5,-160,-1.0,-115,1.0,-109,-1.5,140,1.5,-160,-1.5,140,1.5,-165,-1.5,138,1.5,-167,-1.5,134,1.5,-162,-1.5,141,1.5,-160,-1.5,139,1.5,-164
2026-07-22,fcc83e954b9e74964b190cb0e29366c7,2026-07-22T19:11:00Z,Colorado Rockies,Washington Nationals,1.5,-130,-1.5,105,1.5,-125,-1.5,105,1.5,-127,-1.5,105,1.5,-125,-1.5,105,1.5,-125,-1.5,105,1.5,-126,-1.5,104,1.5,-128,-1.5,106,1.5,-122,-1.5,108,1.5,-129,-1.5,109
2026-07-22,fe2c8918c10c47fffd27be962809d726,2026-07-22T19:41:00Z,Arizona Diamondbacks,Athletics,-1.5,155,1.5,-190,-1.5,156,1.5,-178,-1.5,160,1.5,-200,-1.5,156,1.5,-180,-1.5,165,1.5,-195,-1.5,157,1.5,-191,-1.5,168,1.5,-205,-1.5,157,1.5,-178,-1.5,154,1.5,-183
2026-07-22,5d1eeebcccadcfc65a1ae65709da7845,2026-07-22T19:41:00Z,Seattle Mariners,Cincinnati Reds,-1.5,135,1.5,-165,-1.5,140,1.5,-160,-1.5,143,1.5,-177,-1.5,140,1.5,-160,-1.5,135,1.5,-160,-1.5,137,1.5,-167,-1.5,136,1.5,-164,-1.5,141,1.5,-160,-1.5,137,1.5,-162
2026-07-22,9121395092ebe73ce8eaba439dc5be34,2026-07-22T20:08:00Z,Los Angeles Angels,St. Louis Cardinals,-1.5,155,1.5,-190,-1.5,159,1.5,-182,-1.5,163,1.5,-205,-1.5,156,1.5,-180,-1.5,160,1.5,-185,-1.5,157,1.5,-191,-1.5,158,1.5,-192,-1.5,160,1.5,-182,-1.5,152,1.5,-180
2026-07-22,111a955795876d50988b15c219ce0796,2026-07-22T22:40:00Z,Philadelphia Phillies,Los Angeles Dodgers,1.5,-155,-1.5,125,1.5,-150,-1.5,130,1.5,-162,-1.5,133,1.5,-150,-1.5,130,1.5,-150,-1.5,130,1.5,-156,-1.5,129,1.5,-156,-1.5,130,1.5,-149,-1.5,132,1.5,-153,-1.5,129
2026-07-22,be25eb82b82629d959c1e5ccb8dcc1e7,2026-07-22T22:41:00Z,Cleveland Guardians,Minnesota Twins,,,,,-1.5,170,1.5,-195,-1.5,170,1.5,-215,-1.5,168,1.5,-195,-1.5,170,1.5,-200,-1.5,168,1.5,-205,-1.5,176,1.5,-215,-1.5,171,1.5,-195,-1.5,166,1.5,-198
2026-07-22,825819c6eb7f33c306b094f49bcd9bb0,2026-07-22T23:05:00Z,New York Yankees,Pittsburgh Pirates,-1.5,120,1.5,-145,-1.5,125,1.5,-145,-1.5,110,1.5,-134,-1.5,125,1.5,-145,-1.5,125,1.5,-145,-1.5,123,1.5,-149,-1.5,122,1.5,-146,-1.5,127,1.5,-143,-1.5,119,1.5,-140
